Category,Metric,#,rho_t,Min,Max,sigma^2
PC-Intv-A,# Iterations,240,0.9617588759485987,59.0,107.0,226.87194909344493
,Polar Runtime,240,0.29389161875999387,1.550259931,2.404920471,0.02110970034014797
PC-Intv-B,# Iterations,23,0.974447028239794,168.0,262.0,825.7154150197629
,Polar Runtime,23,0.295425478547085,1.76675248,2.110990391,0.006440785189329646
