Group_ID,Tool,Matched_Variant_Count,Group_Mean_Avg_Iteration_Runtime,Fastest_Param_1,Fastest_Param_2,Fastest_Avg_Iteration_Runtime,Slowest_Param_1,Slowest_Param_2,Slowest_Avg_Iteration_Runtime,Runtime_Range,Slowdown_Percentage_Slowest_vs_Fastest,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Filename__P1_0__P2_2000,RowCount__P1_0__P2_2000,AvgIter__P1_0__P2_2000,DeltaFromGroupMean__P1_0__P2_2000,DeltaFromFastest__P1_0__P2_2000,PctDeltaFromFastest__P1_0__P2_2000,PctDeltaFromGroupMean__P1_0__P2_2000,Filename__P1_0__P2_4000,RowCount__P1_0__P2_4000,AvgIter__P1_0__P2_4000,DeltaFromGroupMean__P1_0__P2_4000,DeltaFromFastest__P1_0__P2_4000,PctDeltaFromFastest__P1_0__P2_4000,PctDeltaFromGroupMean__P1_0__P2_4000,Filename__P1_2000__P2_2000,RowCount__P1_2000__P2_2000,AvgIter__P1_2000__P2_2000,DeltaFromGroupMean__P1_2000__P2_2000,DeltaFromFastest__P1_2000__P2_2000,PctDeltaFromFastest__P1_2000__P2_2000,PctDeltaFromGroupMean__P1_2000__P2_2000,Filename__P1_2000__P2_4000,RowCount__P1_2000__P2_4000,AvgIter__P1_2000__P2_4000,DeltaFromGroupMean__P1_2000__P2_4000,DeltaFromFastest__P1_2000__P2_4000,PctDeltaFromFastest__P1_2000__P2_4000,PctDeltaFromGroupMean__P1_2000__P2_4000
11,Phaserr,4,0.13358853258921632,2000.0,2000.0,0.12164683279120879,0.0,2000.0,0.1378642477373737,0.016217414946164924,13.331555433095444,0.0,2000.0,0.08,5055.0,1.0,0.5,p_0.00_2000.00_0.00_2000.00_0.0800_5055.00_1.00_0.50.smt2,1,0.1378642477373737,0.0042757151481573885,0.016217414946164924,13.331555433095444,3.2006603151373616,p_0.00_4000.00_0.00_2000.00_0.0800_5055.00_1.00_0.50.smt2,1,0.13698596589898987,0.0033974333097735454,0.01533913310778108,12.609562251496294,2.5432072977555835,p_2000.00_2000.00_0.00_2000.00_0.0800_5055.00_1.00_0.50.smt2,1,0.12164683279120879,-0.011941699798007535,0.0,0.0,-8.939165335941048,p_2000.00_4000.00_0.00_2000.00_0.0800_5055.00_1.00_0.50.smt2,1,0.13785708392929294,0.004268551340076615,0.01621025113808415,13.325666411641782,3.195297723048113
12,Phaserr,4,0.1312610084499112,2000.0,2000.0,0.12203943784615386,2000.0,4000.0,0.1377969208989899,0.015757483052836044,12.911795834966352,0.0,2000.0,0.08,5055.0,1.0,1.0,p_0.00_2000.00_0.00_2000.00_0.0800_5055.00_1.00_1.00.smt2,1,0.12791422054945054,-0.003346787900460668,0.00587478270329668,4.813839531695145,-2.549719783493658,p_0.00_4000.00_0.00_2000.00_0.0800_5055.00_1.00_1.00.smt2,1,0.13729345450505048,0.006032446055139279,0.015254016658896627,12.499251822288992,4.595763910682769,p_2000.00_2000.00_0.00_2000.00_0.0800_5055.00_1.00_1.00.smt2,1,0.12203943784615386,-0.009221570603757348,0.0,0.0,-7.025369310092016,p_2000.00_4000.00_0.00_2000.00_0.0800_5055.00_1.00_1.00.smt2,1,0.1377969208989899,0.006535912449078696,0.015757483052836044,12.911795834966352,4.979325182902873
13,Phaserr,4,0.15475118302638535,2000.0,2000.0,0.13515145037373735,0.0,2000.0,0.16416829178787884,0.029016841414141487,21.469870529617374,0.0,2000.0,0.08,7527.5,0.5,0.5,p_0.00_2000.00_0.00_2000.00_0.0800_7527.50_0.50_0.50.smt2,1,0.16416829178787884,0.009417108761493487,0.029016841414141487,21.469870529617374,6.085322630385225,p_0.00_4000.00_0.00_2000.00_0.0800_7527.50_0.50_0.50.smt2,1,0.1628266038598131,0.008075420833427743,0.027675153486075743,20.477141317792018,5.2183257507316565,p_2000.00_2000.00_0.00_2000.00_0.0800_7527.50_0.50_0.50.smt2,1,0.13515145037373735,-0.019599732652648,0.0,0.0,-12.665320076620166,p_2000.00_4000.00_0.00_2000.00_0.0800_7527.50_0.50_0.50.smt2,1,0.15685838608411215,0.0021072030577267975,0.021706935710374797,16.061193313388884,1.3616716955033006
14,Phaserr,4,0.1536109095219957,2000.0,2000.0,0.13822972931313132,2000.0,4000.0,0.159802830457944,0.021573101144812673,15.606701432470583,0.0,2000.0,0.08,7527.5,0.5,1.0,p_0.00_2000.00_0.00_2000.00_0.0800_7527.50_0.50_1.00.smt2,1,0.15781999036363636,0.004209080841640678,0.019590261050505042,14.17224872525598,2.740092389751768,p_0.00_4000.00_0.00_2000.00_0.0800_7527.50_0.50_1.00.smt2,1,0.15859108795327104,0.0049801784312753505,0.020361358640139715,14.73008645919808,3.242073396201221,p_2000.00_2000.00_0.00_2000.00_0.0800_7527.50_0.50_1.00.smt2,1,0.13822972931313132,-0.015381180208864365,0.0,0.0,-10.013078014268197,p_2000.00_4000.00_0.00_2000.00_0.0800_7527.50_0.50_1.00.smt2,1,0.159802830457944,0.0061919209359483085,0.021573101144812673,15.606701432470583,4.0309122283151915
15,Phaserr,4,0.1377939747295482,2000.0,2000.0,0.11716354036263735,0.0,2000.0,0.15816088302020198,0.040997342657564634,34.99155328583636,0.0,2000.0,0.08,7527.5,1.0,0.5,p_0.00_2000.00_0.00_2000.00_0.0800_7527.50_1.00_0.50.smt2,1,0.15816088302020198,0.020366908290653768,0.040997342657564634,34.99155328583636,14.78069584002379,p_0.00_4000.00_0.00_2000.00_0.0800_7527.50_1.00_0.50.smt2,1,0.13799581751515147,0.00020184278560325675,0.020832277152514123,17.780511828197874,0.1464815758449662,p_2000.00_2000.00_0.00_2000.00_0.0800_7527.50_1.00_0.50.smt2,1,0.11716354036263735,-0.020630434366910866,0.0,0.0,-14.971942283690378,p_2000.00_4000.00_0.00_2000.00_0.0800_7527.50_1.00_0.50.smt2,1,0.13785565802020203,6.16832906538134e-05,0.02069211765756468,17.660884600721108,0.04476486782160162
16,Phaserr,4,0.13403072690817516,2000.0,2000.0,0.12134781927472528,2000.0,4000.0,0.13881966653535355,0.017471847260628268,14.398155125534556,0.0,2000.0,0.08,7527.5,1.0,1.0,p_0.00_2000.00_0.00_2000.00_0.0800_7527.50_1.00_1.00.smt2,1,0.13775707605494505,0.0037263491467698917,0.016409256780219775,13.522498284925957,2.780220053065014,p_0.00_4000.00_0.00_2000.00_0.0800_7527.50_1.00_1.00.smt2,1,0.1381983457676768,0.004167618859501648,0.01685052649295153,13.886138699207109,3.1094503145960672,p_2000.00_2000.00_0.00_2000.00_0.0800_7527.50_1.00_1.00.smt2,1,0.12134781927472528,-0.012682907633449883,0.0,0.0,-9.462686598826684,p_2000.00_4000.00_0.00_2000.00_0.0800_7527.50_1.00_1.00.smt2,1,0.13881966653535355,0.004788939627178385,0.017471847260628268,14.398155125534556,3.573016231165635
17,Phaserr,4,0.1543584339377891,2000.0,2000.0,0.1351571294949495,0.0,2000.0,0.16709870267676766,0.031941573181818145,23.63291770191947,0.0,2000.0,0.08,10000.0,0.5,0.5,p_0.00_2000.00_0.00_2000.00_0.0800_10000.00_0.50_0.50.smt2,1,0.16709870267676766,0.012740268738978544,0.031941573181818145,23.63291770191947,8.25369136882617,p_0.00_4000.00_0.00_2000.00_0.0800_10000.00_0.50_0.50.smt2,1,0.15899887489719627,0.0046404409594071605,0.02384174540224676,17.640020538567054,3.0062762629979725,p_2000.00_2000.00_0.00_2000.00_0.0800_10000.00_0.50_0.50.smt2,1,0.1351571294949495,-0.0192013044428396,0.0,0.0,-12.439426828195392,p_2000.00_4000.00_0.00_2000.00_0.0800_10000.00_0.50_0.50.smt2,1,0.156179028682243,0.0018205947444538961,0.021021899187293497,15.553673909654195,1.1794591963712513
18,Phaserr,4,0.14817367309355237,2000.0,2000.0,0.1388707724040404,2000.0,4000.0,0.158074474588785,0.019203702184744625,13.828469340454177,0.0,2000.0,0.08,10000.0,0.5,1.0,p_0.00_2000.00_0.00_2000.00_0.0800_10000.00_0.50_1.00.smt2,1,0.13901497410101013,-0.009158698992542236,0.0001442016969697424,0.1038387664109708,-6.181056864777666,p_0.00_4000.00_0.00_2000.00_0.0800_10000.00_0.50_1.00.smt2,1,0.1567344712803739,0.008560798186821539,0.017863698876333517,12.863541094420947,5.7775433436252275,p_2000.00_2000.00_0.00_2000.00_0.0800_10000.00_0.50_1.00.smt2,1,0.1388707724040404,-0.009302900689511978,0.0,0.0,-6.2783762427475285,p_2000.00_4000.00_0.00_2000.00_0.0800_10000.00_0.50_1.00.smt2,1,0.158074474588785,0.009900801495232647,0.019203702184744625,13.828469340454177,6.681889763899948
19,Phaserr,4,0.133761239786741,2000.0,2000.0,0.11993021331868128,0.0,2000.0,0.13916368405050503,0.019233470731823743,16.03721881217382,0.0,2000.0,0.08,10000.0,1.0,0.5,p_0.00_2000.00_0.00_2000.00_0.0800_10000.00_1.00_0.50.smt2,1,0.13916368405050503,0.005402444263764017,0.019233470731823743,16.03721881217382,4.038871254765037,p_0.00_4000.00_0.00_2000.00_0.0800_10000.00_1.00_0.50.smt2,1,0.13695169793939393,0.003190458152652925,0.01702148462071265,14.192824434892628,2.3851888317868126,p_2000.00_2000.00_0.00_2000.00_0.0800_10000.00_1.00_0.50.smt2,1,0.11993021331868128,-0.013831026468059726,0.0,0.0,-10.340085431408149,p_2000.00_4000.00_0.00_2000.00_0.0800_10000.00_1.00_0.50.smt2,1,0.13899936383838382,0.005238124051642812,0.019069150519702538,15.90020562127373,3.9160253448563185
20,Phaserr,4,0.13031594173093572,0.0,2000.0,0.12123433306593405,2000.0,4000.0,0.14093789320202021,0.019703560136086165,16.252458885034045,0.0,2000.0,0.08,10000.0,1.0,1.0,p_0.00_2000.00_0.00_2000.00_0.0800_10000.00_1.00_1.00.smt2,1,0.12123433306593405,-0.00908160866500167,0.0,0.0,-6.968916115997945,p_0.00_4000.00_0.00_2000.00_0.0800_10000.00_1.00_1.00.smt2,1,0.137453055040404,0.007137113309468285,0.016218721974469955,13.377994141023814,5.476776835334801,p_2000.00_2000.00_0.00_2000.00_0.0800_10000.00_1.00_1.00.smt2,1,0.12163848561538462,-0.008677456115551097,0.0004041525494505732,0.3333647649389652,-6.65878326188787,p_2000.00_4000.00_0.00_2000.00_0.0800_10000.00_1.00_1.00.smt2,1,0.14093789320202021,0.010621951471084495,0.019703560136086165,16.252458885034045,8.150922542551022
