Filename,Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Tool,Polar Runtime,Average Time per Iteration,# Iterations,Time_Seconds
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.0,Phaserr,,,,312.4342
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.0,Spacer,,,,313.634
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.0,Golem,,,,312.5733
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.0000000000.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.0,GSpacer,,,,312.9258
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.2222222222,Phaserr,,,,314.3935
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.2222222222,Spacer,,,,312.6855
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.2222222222,Golem,,,,313.1975
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.2222222222.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.2222222222,GSpacer,,,,313.4531
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.4444444444,Phaserr,,,,315.6735
p_0.00_1000.00_5000.00_5000.00_1.5000_1000.00_1.00_1.4444444444.smt2,0.0,1000.0,5000.0,5000.0,1.5,1000.0,1.0,1.4444444444,Spacer,,,,313.7382
