Category,Total_Benchmarks,Tool,Solved,Percentage_Solved,Avg_Time_(s),Median_Time_(s)
interval,100,Phaserr,23,23.00%,148.3546,129.9051
interval,100,Spacer,0,0.00%,0.0000,0.0000
interval,100,Golem,0,0.00%,0.0000,0.0000
TOTAL SUMMARY,100,Phaserr,23,23.00%,148.3546,129.9051
TOTAL SUMMARY,100,Spacer,0,0.00%,0.0000,0.0000
TOTAL SUMMARY,100,Golem,0,0.00%,0.0000,0.0000
UNIQUE (Golem vs Spacer),100,Golem (unique),0,0.00%,,
UNIQUE (Golem vs Spacer),100,Spacer (unique),0,0.00%,,
